journal1,journal2,weight
Biochim Biophys Acta,Nat Genet,232
Nature,Physics Today,231
Cellular and Molecular Life Sciences,PNAS,231
Nature,Trends in Genetics,231
Eur J Biochem,Genome Res,231
Neurology,PNAS,231
Circulation Research,Journal of Biological Chemistry,231
Journal of Biological Chemistry,Journal of the American Chemical Society,230
EMBO J,J Cell Biol,230
Astronomy and Astrophysics,Publications of the Astronomical Society of the Pacific,230
Anal Biochem,PNAS,230
Mol Cell,Science,230
PLoS ONE,The EMBO Journal,230
Nature Reviews Molecular Cell Biology,PNAS,230
Journal of Cell Science,Science,230
J Cell Biol,Mol Cell Biol,230
Current Biology,Scientific Reports,230
Nature,New England Journal of Medicine,230
NME,Q,230
Angewandte Chemie International Edition,Science,230
Journal of Immunology,Science,229
Curr Biol,Science,229
Journal of Bacteriology,Nature,229
J Exp Med,PNAS,229
DNA Research,Journal of Biological Chemistry,229
Int J Cancer,PNAS,229
Molecular Phylogenetics and Evolution,Science,228
Entertainment Weekly,NME,228
Cell,Scientific Reports,228
Science,Trends in Ecology  Evolution,227
Biochimica et Biophysica Acta,PLoS ONE,227
Monthly Notices of the Royal Astronomical Society,Science,227
Nature,Trends in Ecology  Evolution,227
Nat Cell Biol,Nature,227
Journal of Biological Chemistry,Virology,227
Anal Biochem,Genome Res,226
Genes  Development,Molecular Cell,226
Cytogenetics and Cell Genetics,Journal of Biological Chemistry,226
ZooKeys,Zootaxa,226
Astronomy and Astrophysics,The Astrophysical Journal Supplement Series,226
PNAS,Trends in Biochemical Sciences,226
Annals of Internal Medicine,BMJ,225
Billboard,Spin,225
Journal of Paleontology,PLoS ONE,225
Molecular and Cellular Biology,Nature Genetics,225
Molecular Phylogenetics and Evolution,Zootaxa,225
Cell,Mol Biol Cell,225
Nature Reviews Neuroscience,PNAS,225
Molecular Phylogenetics and Evolution,Nature,225
Cancer Research,PLoS ONE,224
Journal of Biological Chemistry,The New England Journal of Medicine,224
PLoS Biology,PNAS,224
Circulation,Lancet,224
Publications of the Astronomical Society of the Pacific,The Astronomical Journal,223
Cytogenet Cell Genet,Nature,223
Gene,The EMBO Journal,223
Nature,Nature Structural  Molecular Biology,223
Palaeogeography Palaeoclimatology Palaeoecology,Science,222
Genomics,J Cell Biol,222
Proceedings of the Royal Society B,Science,222
Biochimica et Biophysica Acta,Genomics,222
Neuroscience,PNAS,221
Cell,Journal of Virology,221
Biochemical and Biophysical Research Communications,Cancer Research,221
Cancer Research,Molecular and Cellular Biology,221
Blood,PLoS ONE,221
Entertainment Weekly,Q,220
Journal of Human Evolution,Nature,220
Monthly Notices of the Royal Astronomical Society,The Astrophysical Journal Supplement Series,220
Journal of Molecular Biology,PLoS ONE,220
Cancer Res,Genomics,219
Ecology,Science,219
Journal of Molecular Biology,The EMBO Journal,219
