source,target,weight
archives of biochemistry and biophysics,journal of biological chemistry,1553
jama,the new england journal of medicine,1553
europeasia studies,the slavonic and east european review,1551
historical biology an international journal of paleobiology,journal of mammalian evolution,1548
neuron,the journal of neuroscience,1547
mol cell,pnas,1541
journal of paleontology,zoological journal of the linnean society,1540
genome biology,science,1527
historical biology an international journal of paleobiology,nature communications,1526
analytical chemistry,lab on a chip,1525
ear and hearing,the journal of the acoustical society of america,1523
bioessays,nature,1519
journal of systematic palaeontology,zoological journal of the linnean society,1519
geology,scientific reports,1517
cell,current biology,1515
nature,the new england journal of medicine,1515
immunity,journal of biological chemistry,1513
nature,physical review b,1510
nature methods,science,1509
palaeogeography palaeoclimatology palaeoecology,paleontological journal,1508
journal of the american chemical society,tetrahedron letters,1507
acta palaeontologica polonica,palaeogeography palaeoclimatology palaeoecology,1505
geochimica et cosmochimica acta,nature,1504
acta palaeontologica polonica,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,1504
journal of biological chemistry,the journal of experimental medicine,1503
neurology,the cochrane database of systematic reviews,1502
nature ecology  evolution,plos one,1496
journal of human evolution,nature ecology  evolution,1496
quaternary science reviews,science,1495
j virol,journal of biological chemistry,1494
molecular and cellular biology,nucleic acids research,1493
historical biology an international journal of paleobiology,royal society open science,1489
journal of human evolution,palaeogeography palaeoclimatology palaeoecology,1487
endocrinology,journal of biological chemistry,1485
animal behaviour,behavioral ecology and sociobiology,1484
current biology,peerj,1484
journal of human evolution,nature communications,1483
paleontological journal,pnas,1481
comptes rendus palevol,plos one,1480
acta palaeontologica polonica,palaeontologia electronica,1477
journal of systematic palaeontology,palaeogeography palaeoclimatology palaeoecology,1477
acta palaeontologica polonica,proceedings of the royal society b biological sciences,1476
mol cell biol,science,1475
nature,quaternary science reviews,1475
animal behaviour,nature,1472
neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,scientific reports,1471
development,journal of biological chemistry,1467
astrobiology,science,1467
dna res,journal of biological chemistry,1467
historical biology an international journal of paleobiology,nature,1462
papers in palaeontology,scientific reports,1461
nano letters,science,1460
biochim biophys acta,pnas,1457
physical review b,science,1454
biology letters,nature,1453
palaeoentomology,paleontological journal,1451
