,journal1,journal2,weight
697,journal of systematic palaeontology,palaeogeography palaeoclimatology palaeoecology,1477
698,acta palaeontologica polonica,palaeontologia electronica,1477
699,acta palaeontologica polonica,proceedings of the royal society b biological sciences,1476
700,mol cell biol,science,1475
701,nature,quaternary science reviews,1475
702,animal behaviour,nature,1472
703,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,scientific reports,1471
704,development,journal of biological chemistry,1467
705,astrobiology,science,1467
706,dna res,journal of biological chemistry,1467
707,nature genetics,nature genetics,1464
708,historical biology an international journal of paleobiology,nature,1462
709,papers in palaeontology,scientific reports,1461
710,nano letters,science,1460
711,biochim biophys acta,pnas,1457
712,physical review b,science,1454
713,biology letters,nature,1453
714,palaeoentomology,paleontological journal,1451
715,bmc evolutionary biology,cretaceous research,1451
716,evolution,science,1449
717,cell cycle,journal of biological chemistry,1449
718,paleobiology,science,1445
719,american museum novitates,journal of vertebrate paleontology,1444
720,doctor who classic comics,doctor who magazine,1440
721,cytogenet cell genet,journal of biological chemistry,1440
722,phys rev lett,physical review letters,1439
723,the journal of neuroscience,the journal of neuroscience,1439
724,journal of mammalogy,journal of mammalogy,1438
725,bmc evolutionary biology,pnas,1434
726,baltic journal of coleopterology,cretaceous research,1434
727,journal of systematic palaeontology,pnas,1432
728,nature communications,paleontological journal,1432
729,bulletin of geosciences,cretaceous research,1431
730,palaeontology,zoological journal of the linnean society,1430
731,journal of human evolution,peerj,1429
732,bmc evolutionary biology,nature,1425
733,genome res,mol cell biol,1420
734,genes dev,mol cell biol,1416
735,russian entomological journal,zootaxa,1416
736,journal of systematic palaeontology,nature,1415
737,circulation research,journal of biological chemistry,1412
738,geobios,journal of vertebrate paleontology,1412
739,lpsn,wwwdsmzde,1411
740,peerj,the anatomical record,1411
741,the russian review,the slavonic and east european review,1411
742,tissue antigens,tissue antigens,1409
743,genomics,science,1408
744,archives of sexual behavior,archives of sexual behavior,1408
745,russian history,russian review,1406
746,plos one,quaternary science reviews,1406
747,all about soap,inside soap,1405
748,journal of bacteriology,journal of bacteriology,1405
749,bull amer math soc,bull amer math soc,1404
750,cretaceous research,journal of south american earth sciences,1401
751,journal of personality and social psychology,personality and social psychology bulletin,1400
752,the journal of modern history,the journal of modern history,1398
753,current biology,zootaxa,1397
754,astronomy  astrophysics,nature,1394
755,nucleic acids research,the embo journal,1393
756,genomics,genomics,1393
757,geodiversitas,journal of vertebrate paleontology,1392
758,gene,science,1391
759,wwwdsmzde,wwwuniprotorg,1388
760,journal of human evolution,quaternary science reviews,1384
761,journal of systematic palaeontology,proceedings of the royal society b biological sciences,1384
762,cretaceous research,the science of nature,1384
763,billboard,cash box,1382
764,lancet,plos one,1381
765,the new england journal of medicine,the new england journal of medicine,1380
766,american family physician,the cochrane database of systematic reviews,1380
767,genome res,science,1379
768,journal of systematic palaeontology,journal of systematic palaeontology,1377
769,j immunol,pnas,1374
770,billboard,rpm,1374
771,gigascience,pnas,1373
772,inside soap,soaplife,1369
773,american museum novitates,zootaxa,1368
774,journal of south american earth sciences,journal of vertebrate paleontology,1368
775,human molecular genetics,nature,1366
776,acta palaeontologica polonica,acta palaeontologica polonica,1365
777,bioinformatics,pnas,1362
778,nat biotechnol,pnas,1362
779,journal of biological chemistry,nat cell biol,1360
780,geophysical research letters,journal of geophysical research,1358
781,journal of personality and social psychology,psychological science,1357
782,nature,paleobiology,1355
783,jama,jama,1355
784,blood,cell,1355
785,alcheringa an australasian journal of palaeontology,journal of vertebrate paleontology,1353
786,acta palaeontologica polonica,science,1352
787,nature,nature methods,1349
788,experimental cell research,journal of biological chemistry,1348
789,proceedings of the royal society b biological sciences,zootaxa,1346
790,paleontological journal,proceedings of the royal society b biological sciences,1340
791,geological magazine,journal of paleontology,1340
792,palaeontology,proceedings of the royal society b biological sciences,1338
793,acta geologica sinica english edition,cretaceous research,1338
794,physical review letters,reviews of modern physics,1337
795,nature,proceedings of the royal society b,1336
796,mol cell,nature,1333
797,gene,nat genet,1333
798,neuron,neuron,1332
799,nature,nature medicine,1330
800,soviet studies,the slavonic and east european review,1329
801,bioessays,pnas,1327
802,j clin endocrinol metab,j clin endocrinol metab,1326
803,alcheringa an australasian journal of palaeontology,plos one,1321
804,pnas,virology,1320
805,paleobiology,pnas,1319
806,journal of vertebrate paleontology,palxe4ontologische zeitschrift,1319
807,elife,science,1317
808,genome biology,pnas,1317
809,alcheringa an australasian journal of palaeontology,scientific reports,1316
810,biochemical and biophysical research communications,molecular and cellular biology,1316
811,alcheringa an australasian journal of palaeontology,historical biology an international journal of paleobiology,1315
812,cretaceous research,palaeoworld,1314
813,oncogene,the embo journal,1312
814,the astrophysical journal,the astrophysical journal supplement series,1312
815,neurology,neurology,1309
816,journal of experimental social psychology,journal of personality and social psychology,1308
817,historical biology an international journal of paleobiology,journal of human evolution,1308
818,ameghiniana,cretaceous research,1307
819,nature geoscience,pnas,1307
820,science,the new england journal of medicine,1306
821,lancet,new england journal of medicine,1303
822,journal of vertebrate paleontology,paleobiology,1303
823,journal of the american chemical society,organic letters,1298
824,cell,journal of molecular biology,1298
825,nature,nature neuroscience,1295
826,palaeontologia electronica,pnas,1295
827,pnas,quaternary international,1293
828,molecular cell,the embo journal,1289
829,nature communications,palaeontology,1289
830,nature,zoological journal of the linnean society,1286
831,science,the astronomical journal,1286
832,new scientist,science,1285
833,animal behaviour,science,1284
834,geological magazine,journal of vertebrate paleontology,1283
835,bmc bioinformatics,nucleic acids research,1281
836,journal of south american earth sciences,scientific reports,1280
837,journal of bacteriology,journal of biological chemistry,1280
838,palaeogeography palaeoclimatology palaeoecology,palaeontologia electronica,1280
839,bulletin of geosciences,journal of paleontology,1280
840,bmc genomics,pnas,1275
841,physical review letters,the astrophysical journal,1274
842,astrophysical journal,astrophysical journal,1274
843,cancer research,oncogene,1272
844,geochimica et cosmochimica acta,geochimica et cosmochimica acta,1271
845,journal of mammalian evolution,scientific reports,1270
846,biology letters,pnas,1266
847,acta palaeontologica polonica,nature communications,1266
848,palaeontology,palaeontology,1266
849,pnas,zootaxa,1265
850,slavic review,the slavic and east european journal,1265
851,embo j,oncogene,1263
852,chest,the cochrane database of systematic reviews,1263
853,genomics,mol cell biol,1259
854,journal of human evolution,journal of mammalian evolution,1259
855,journal of cell science,pnas,1258
856,nature communications,zootaxa,1257
857,cretaceous research,science advances,1254
858,j clin invest,journal of biological chemistry,1254
859,plos one,the anatomical record,1253
860,cell,nat genet,1252
861,quaternary science reviews,quaternary science reviews,1251
862,papers in palaeontology,peerj,1249
863,geochimica et cosmochimica acta,science,1247
864,pediatrics,pediatrics,1247
865,elife,pnas,1245
866,bioessays,science,1244
867,physical review d,the astrophysical journal,1242
868,journal of systematic palaeontology,nature communications,1241
869,am j hum genet,journal of biological chemistry,1241
870,current biology,current biology,1239
871,ameghiniana,plos one,1239
872,cell,nature communications,1239
873,biochem biophys res commun,mol cell biol,1237
874,journal of biological chemistry,nature communications,1237
875,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,palaeontology,1237
876,zookeys,zookeys,1237
877,annual review of biochemistry,journal of biological chemistry,1237
878,hum mol genet,pnas,1236
879,papers in palaeontology,plos one,1236
880,pnas,scientific american,1235
881,episodes,episodes,1234
882,nature,paleontological journal,1234
883,chemical physics letters,the journal of chemical physics,1233
884,journal of theoretical biology,nature,1232
