,journal1,journal2,weight
415,the gazette of the democratic socialist republic of sri lanka extraordinary,the gazette of the democratic socialist republic of sri lanka extraordinary,2218
416,plos one,royal society open science,2218
417,peerj,proceedings of the royal society b biological sciences,2216
418,blood,nature,2212
419,analytical chemistry,analytical chemistry,2209
420,russian history,the slavonic and east european review,2209
421,cochrane database of systematic reviews,the cochrane database of systematic reviews,2208
422,nature biotechnology,science,2206
423,journal of biological chemistry,molecular biology of the cell,2201
424,russian review,the journal of modern history,2198
425,proceedings of the royal society b biological sciences,science,2197
426,embo j,nature,2193
427,icarus,the astronomical journal,2191
428,cretaceous research,review of palaeobotany and palynology,2188
429,acta palaeontologica polonica,palaeontology,2180
430,neuron,science,2175
431,eur j biochem,journal of biological chemistry,2161
432,american journal of physical anthropology,nature,2160
433,geology,pnas,2157
434,biochimica et biophysica acta,pnas,2156
435,cretaceous research,palz,2154
436,peerj,royal society open science,2151
437,nature,the astronomical journal,2150
438,genetics,science,2147
439,mol cell biol,oncogene,2138
440,palaeontology,zootaxa,2136
441,cretaceous research,journal of the botanical research institute of texas,2136
442,pnas,the journal of cell biology,2134
443,palaeontologia electronica,zootaxa,2124
444,nature,nature geoscience,2117
445,journal of biological chemistry,nature cell biology,2112
446,cancer research,pnas,2108
447,nature communications,peerj,2103
448,nature,scientific american,2102
449,royal society open science,scientific reports,2082
450,razorcake,razorcake,2080
451,systematic entomology,zootaxa,2080
452,physical review,physical review letters,2072
453,american journal of physical anthropology,pnas,2071
454,counselor education and supervision,professional school counseling,2068
455,journal of school counseling,professional school counseling,2068
456,foreign affairs,slavic review,2067
457,cretaceous research,papers in palaeontology,2057
458,journal of biological chemistry,the journal of clinical investigation,2056
459,febs lett,pnas,2055
460,journal of paleontology,proceedings of the royal society b biological sciences,2049
461,canadian journal of earth sciences,journal of vertebrate paleontology,2043
462,current biology,scientific reports,2043
463,international journal of plant sciences,review of palaeobotany and palynology,2038
464,physical review d,physics letters b,2034
465,historical biology an international journal of paleobiology,palaeontology,2034
466,science,the embo journal,2032
467,earth and planetary science letters,science,2030
468,acta palaeontologica polonica,nature,2021
469,historical biology an international journal of paleobiology,pnas,2019
470,j mol biol,journal of biological chemistry,2017
471,hum mol genet,journal of biological chemistry,2015
472,acta palaeontologica sinica,cretaceous research,2013
473,zoological journal of the linnean society,zootaxa,2006
474,nature,the journal of neuroscience,2002
475,palaeontologia electronica,peerj,2000
476,gigascience,nature genetics,1992
477,icarus,j geophys res,1991
478,historical biology an international journal of paleobiology,zoological journal of the linnean society,1988
479,biochemical and biophysical research communications,nature,1984
480,cell,gene,1982
481,american museum novitates,cretaceous research,1980
482,cell,genomics,1974
483,j cell biol,pnas,1970
484,earth and planetary science letters,nature,1970
485,gene,gene,1969
486,journal of systematic palaeontology,palaeontology,1964
487,oncogene,science,1954
488,journal of virology,virology,1940
489,the space gamer,the space gamer,1939
490,cretaceous research,geological magazine,1937
491,astronomy and astrophysics,astrophysical journal,1931
492,journal of human evolution,journal of vertebrate paleontology,1930
493,nature communications,palaeogeography palaeoclimatology palaeoecology,1930
494,historical biology an international journal of paleobiology,palaeontologia electronica,1929
495,journal of vertebrate paleontology,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,1917
496,nature biotechnology,pnas,1915
497,racing calendar,racing calendar,1915
498,science,science advances,1913
499,molecular biology and evolution,plos one,1911
500,cretaceous research,gondwana research,1907
501,biochem biophys res commun,nature,1902
502,circulation,circulation,1899
503,journal of biological chemistry,molecular endocrinology,1897
504,biochem biophys res commun,genome res,1896
505,american journal of human genetics,plos one,1894
506,american journal of human genetics,journal of biological chemistry,1890
